Ссылка;ID;Монета;Цена;Капитализация;Торги 24;Цена мин;Дата мин цены;Цена макс;Дата макс цены
https://www.coingecko.com/en/coins/bitcoin;1;Bitcoin;$69,670.74;$1,371,867,139,291;$29,791,598,501;$67.81;Jul 06, 2013 (almost 11 years);$73,737.94;Mar 14, 2024 (2 months)
https://www.coingecko.com/en/coins/ethereum;279;Ethereum;$3,812.88;$457,514,831,110;$23,531,015,316;$0.4330;Oct 20, 2015 (over 8 years);$4,878.26;Nov 10, 2021 (over 2 years)
https://www.coingecko.com/en/coins/tether;325;Tether;$0.9999;$111,737,426,948;$45,703,449,839;$0.5725;Mar 02, 2015 (about 9 years);$1.32;Jul 24, 2018 (almost 6 years)
https://www.coingecko.com/en/coins/bnb;825;BNB;$614.22;$94,401,184,224;$1,163,315,814;$0.03982;Oct 19, 2017 (over 6 years);$686.31;May 10, 2021 (about 3 years)
https://www.coingecko.com/en/coins/solana;4128;Solana;$177.44;$79,744,398,476;$3,110,056,431;$0.5008;May 11, 2020 (about 4 years);$259.96;Nov 06, 2021 (over 2 years)
https://www.coingecko.com/en/coins/lido-staked-ether;13442;Lido Staked Ether;$3,810.42;$35,542,192,914;$211,614,187;$482.90;Dec 22, 2020 (over 3 years);$4,829.57;Nov 10, 2021 (over 2 years)
https://www.coingecko.com/en/coins/usdc;6319;USDC;$1.00;$32,938,485,113;$7,558,261,746;$0.8776;Mar 11, 2023 (about 1 year);$1.17;May 08, 2019 (about 5 years)
https://www.coingecko.com/en/coins/xrp;44;XRP;$0.5296;$29,294,989,296;$897,117,531;$0.002686;May 22, 2014 (about 10 years);$3.40;Jan 07, 2018 (over 6 years)
https://www.coingecko.com/en/coins/dogecoin;5;Dogecoin;$0.1671;$24,100,704,403;$1,350,011,205;$0.00008690;May 06, 2015 (about 9 years);$0.7316;May 08, 2021 (about 3 years)
https://www.coingecko.com/en/coins/toncoin;17980;Toncoin;$6.46;$22,488,208,869;$415,278,548;$0.5194;Sep 21, 2021 (over 2 years);$7.63;Apr 11, 2024 (about 1 month)
https://www.coingecko.com/en/coins/cardano;975;Cardano;$0.4840;$17,097,367,804;$333,202,168;$0.01925;Mar 13, 2020 (about 4 years);$3.09;Sep 02, 2021 (over 2 years)
https://www.coingecko.com/en/coins/avalanche;12559;Avalanche;$39.77;$15,622,802,162;$499,135,369;$2.80;Dec 31, 2020 (over 3 years);$144.96;Nov 21, 2021 (over 2 years)
https://www.coingecko.com/en/coins/shiba-inu;11939;Shiba Inu;$0.00002549;$15,026,146,856;$477,248,414;$0.0105637;Nov 28, 2020 (over 3 years);$0.00008616;Oct 28, 2021 (over 2 years)
https://www.coingecko.com/en/coins/wrapped-bitcoin;7598;Wrapped Bitcoin;$69,734.54;$10,840,505,227;$10,840,505,227;$3,139.17;Apr 02, 2019 (about 5 years);$73,505.50;Mar 14, 2024 (2 months)
https://www.coingecko.com/en/coins/tron;1094;TRON;$0.1186;$10,378,908,525;$324,187,427;$0.001804;Nov 12, 2017 (over 6 years);$0.2317;Jan 05, 2018 (over 6 years)
https://www.coingecko.com/en/coins/polkadot;12171;Polkadot;$7.55;$10,324,624,881;$191,930,079;$2.70;Aug 20, 2020 (almost 4 years);$54.98;Nov 04, 2021 (over 2 years)
https://www.coingecko.com/en/coins/bitcoin-cash;780;Bitcoin Cash;$507.05;$9,997,804,405;$349,927,678;$76.93;Dec 16, 2018 (over 5 years);$3,785.82;Dec 20, 2017 (over 6 years)
https://www.coingecko.com/en/coins/chainlink;877;Chainlink;$16.68;$9,757,668,383;$532,939,265;$0.1482;Nov 29, 2017 (over 6 years);$52.70;May 10, 2021 (about 3 years)
https://www.coingecko.com/en/coins/near;10365;NEAR Protocol;$8.01;$8,649,206,548;$686,847,786;$0.5268;Nov 04, 2020 (over 3 years);$20.44;Jan 16, 2022 (over 2 years)
